"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","x1_caseevery_x_ppl","x1_deathevery_x_ppl","x1_testevery_x_ppl","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Georgia",1131,14,16,0,920,3,195,5,284,4,201519,50524,"3,988,597","Asia","3,527","249,287","20",0.0141,3989167,-0.0019,-7598,57,69490,-10000,2.0615,38,0.581,0.001
"Uganda",1115,12,2,1,982,0,131,0,24,4,260465,5684,"45,824,227","Africa","41,098","22,912,114","176",0.0018,45741007,0.0332,1471413,229,199810,168694,5.01,17,0.257,0.006
"Burkina Faso",1086,0,53,0,920,0,113,0,52,3,0,0,"20,937,561","Africa","19,280","395,048","",0.0488,20903273,0.0286,581895,76,273600,-25000,5.2315,18,0.306,0.003
"Cyprus",1057,4,19,0,852,0,186,0,875,16,193712,160361,"1,207,974","Asia","1,143","63,578","6",0.018,1207359,0.0073,8784,131,9240,5000,1.3375,37,0.668,0
"Angola",932,16,40,1,242,0,650,15,28,1,10000,304,"32,925,429","Africa","35,328","823,136","3,293",0.0429,32866272,0.0327,1040977,26,1246700,6413,5.55,17,0.667,0.004
"Chad",915,0,75,0,810,0,30,0,56,5,0,0,"16,453,742","Africa","17,982","219,383","",0.082,16425864,0.03,478988,13,1259200,2000,5.7973,17,0.233,0.002
"Andorra",897,0,52,0,803,0,42,0,11608,673,3750,48529,"77,274","Europe","86","1,486","21",0.058,77265,0.0016,123,164,470,,,,0.878,0
"Togo",868,15,18,1,599,12,251,2,105,2,40763,4917,"8,290,735","Africa","9,552","460,596","203",0.0207,8278724,0.0243,196358,152,54390,-2000,4.3515,19,0.433,0.001
"Sao Tome and Principe",863,1,14,0,696,34,153,0,3933,64,2789,12711,"219,421","Africa","254","15,673","79",0.0162,219159,0.0191,4103,228,960,-1680,4.35,19,0.74,0
"Jamaica",837,6,10,0,711,0,116,0,283,3,35417,11957,"2,962,090","North America","3,539","296,209","84",0.0119,2961167,0.0044,12888,273,10830,-11332,1.991,31,0.554,0
"Malta",700,14,9,0,665,0,26,0,1585,20,120145,272050,"441,628","Europe","631","49,070","4",0.0129,441543,0.0027,1171,1380,320,900,1.45,43,0.932,0
"San Marino",699,0,42,0,657,0,0,0,20598,1238,5729,168818,"33,936","Europe","49","808","6",0.0601,33931,0.0021,71,566,60,,,,0.971,0
