"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","x1_caseevery_x_ppl","x1_deathevery_x_ppl","x1_testevery_x_ppl","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Germany",206741,409,9203,1,190600,0,6938,237,2467,110,7418812,88527,"83,803,229","Europe","405","9,106","11",0.0445,83783942,0.0032,266897,240,348560,543822,1.586,46,0.763,0.011
"France",180528,0,30192,0,80815,0,69521,410,2765,462,2982302,45682,"65,283,977","Europe","362","2,162","22",0.1672,65273511,0.0022,143783,119,547557,36527,1.8523,42,0.815,0.008
"Argentina",162526,4192,2939,46,70518,2496,89069,955,3594,65,636844,14082,"45,224,432","South America","278","15,388","71",0.0181,45195774,0.0093,415097,17,2736690,4800,2.268,32,0.928,0.006
"Canada",113911,355,8890,5,99355,240,5666,2224,3016,235,3801950,100674,"37,765,087","North America","332","4,248","10",0.078,37742154,0.0089,331107,4,9093510,242032,1.525,41,0.813,0.005
"Iraq",110032,2459,4362,78,75217,1900,30453,433,2732,108,912698,22659,"40,278,833","Asia","366","9,234","44",0.0396,40222493,0.0232,912710,93,434320,7834,3.682,21,0.731,0.005
"Qatar",109305,269,165,1,106024,274,3116,89,38929,59,472442,168260,"2,807,805","Asia","26","17,017","6",0.0015,2881053,0.0173,48986,248,11610,40000,1.8805,32,0.962,0
"Indonesia",98778,1492,4781,67,56655,1301,37342,0,361,17,1381699,5048,"273,721,489","Asia","2,771","57,252","198",0.0484,273523615,0.0107,2898047,151,1811570,-98955,2.3195,30,0.564,0.035
"Egypt",92062,479,4606,48,33831,928,53625,41,899,45,135000,1318,"102,458,428","Africa","1,113","22,245","759",0.05,102334404,0.0194,1946331,103,995450,-38033,3.33,25,0.43,0.013
"Kazakhstan",81720,1494,585,0,51823,563,29312,221,4349,31,1894815,100831,"18,791,918","Asia","230","32,123","10",0.0072,18776707,0.0121,225280,7,2699700,-18000,2.7638,31,0.577,0.002
"Ecuador",80694,658,5515,8,34896,352,40283,350,4569,312,225293,12757,"17,660,768","South America","219","3,202","78",0.0683,17643054,0.0155,269392,71,248360,36400,2.44,28,0.63,0.002
"Philippines",80448,2036,1932,35,26110,358,52406,351,733,18,1299456,11848,"109,678,880","Asia","1,363","56,770","84",0.024,109581078,0.0135,1464463,368,298170,-67152,2.58,26,0.475,0.014
"Sweden",78997,0,5697,0,0,0,0,50,7819,564,751213,74350,"10,103,707","Europe","128","1,774","13",0.0721,10099265,0.0063,62886,25,410340,40000,1.85,41,0.882,0.001
"Oman",76005,1147,384,13,55299,1238,20322,167,14861,75,296989,58068,"5,114,531","Asia","67","13,319","17",0.0051,5106626,0.0265,131640,16,309500,87400,2.93,31,0.87,0.001
"Bolivia",68281,1825,2535,62,20951,337,44795,71,5844,217,147173,12596,"11,683,672","South America","171","4,609","79",0.0371,11673021,0.0139,159921,11,1083300,-9504,2.75,26,0.693,0.001
"Belarus",67132,130,534,4,60425,333,6173,89,7105,57,1251359,132432,"9,449,094","Europe","141","17,695","8",0.008,9449323,-3e-04,-3088,47,202910,8730,1.7099,40,0.792,0.001
"Belgium",65727,528,9821,4,17425,31,38481,45,5669,847,1514046,130597,"11,593,226","Europe","176","1,180","8",0.1494,11589623,0.0044,50295,383,30280,48000,1.7148,42,0.983,0.001
"Ukraine",64849,920,1605,15,35807,310,27437,91,1483,37,937006,21435,"43,713,713","Europe","674","27,236","47",0.0247,43733762,-0.0059,-259876,75,579320,10000,1.4435,41,0.694,0.006
"Kuwait",63773,464,433,4,54373,766,8967,123,14919,101,479411,112149,"4,274,759","Asia","67","9,872","9",0.0068,4270571,0.0151,63488,240,17820,39520,2.1,37,,0.001
"Dominican Republic",62908,2012,1063,8,28603,623,33242,267,5795,98,235289,21675,"10,855,381","North America","173","10,212","46",0.0169,10847910,0.0101,108952,225,48320,-30000,2.36,28,0.845,0.001
"Israel",61956,1278,470,13,27025,108,34461,303,6736,51,1597269,173662,"9,197,590","Asia","148","19,569","6",0.0076,8655535,0.016,136158,400,21640,10000,3.044,30,0.932,0.001
"Panama",60296,1432,1294,19,34131,703,24871,158,13960,300,207908,48135,"4,319,239","North America","72","3,338","21",0.0215,4314767,0.0161,68328,58,74340,11200,2.4688,30,0.68,0.001
"UAE",58913,351,344,1,52182,554,6387,0,5952,35,4828066,487758,"9,898,488","Asia","168","28,775","2",0.0058,9890402,0.0123,119873,118,83600,40000,1.42,33,0.864,0.001
"Netherlands",52946,214,6139,0,0,0,0,16,3089,358,851885,49708,"17,137,619","Europe","324","2,792","20",0.1159,17134872,0.0022,37742,508,33720,16000,1.66,43,0.925,0.002
"Singapore",50369,481,27,0,45521,169,4821,0,8605,5,1170049,199887,"5,853,551","Asia","116","216,798","5",5e-04,5850342,0.0079,46005,8358,700,27028,1.209,42,,0.001
"Portugal",50164,209,1717,1,35217,207,13230,48,4921,168,1528600,149944,"10,194,483","Europe","203","5,937","7",0.0342,10196709,-0.0029,-29478,111,91590,-6000,1.288,46,0.665,0.001
"Guatemala",45053,561,1734,35,31612,567,11707,5,2512,97,140501,7833,"17,936,925","North America","398","10,344","128",0.0385,17915568,0.019,334096,167,107160,-9215,2.8989,23,0.518,0.002
"Romania",44798,1120,2187,22,25643,270,16968,351,2330,114,1102901,57360,"19,227,859","Europe","429","8,792","17",0.0488,19237691,-0.0066,-126866,84,230170,-73999,1.6198,43,0.546,0.002
"Poland",43065,443,1671,7,32753,334,8641,61,1138,44,2095222,55365,"37,843,543","Europe","879","22,647","18",0.0388,37846611,-0.0011,-41157,124,306230,-29395,1.4202,42,0.602,0.005
"Nigeria",40532,555,858,2,17374,426,22300,7,196,4,262579,1272,"206,452,281","Africa","5,094","240,620","786",0.0212,206139589,0.0258,5175990,226,910770,-60000,5.4168,18,0.52,0.026
"Bahrain",39131,384,140,3,35689,484,3302,48,22952,82,788910,462736,"1,704,881","Asia","44","12,178","2",0.0036,1701575,0.0368,60403,2239,760,47800,1.9982,32,0.893,0
"Honduras",38438,879,1098,37,4713,106,32627,51,3877,111,95574,9639,"9,914,965","North America","258","9,030","104",0.0286,9904607,0.0163,158490,89,111890,-6800,2.4872,24,0.573,0.001
"Armenia",37317,321,705,5,26478,235,10134,10,12592,238,157152,53027,"2,963,645","Asia","79","4,204","19",0.0189,2963243,0.0019,5512,104,28470,-4998,1.7559,35,0.628,0
"Afghanistan",36157,121,1259,11,25180,387,9718,31,928,32,86907,2229,"38,983,033","Asia","1,078","30,963","449",0.0348,38928346,0.0233,886592,60,652860,-62920,4.5552,18,0.254,0.005
"Switzerland",34412,110,1977,0,30700,200,1735,20,3974,228,758836,87635,"8,659,053","Europe","252","4,380","11",0.0575,8654622,0.0074,63257,219,39516,52000,1.535,43,0.741,0.001
"Ghana",32969,1118,168,7,29494,1056,3307,8,1060,5,374612,12040,"31,113,950","Africa","944","185,202","83",0.0051,31072940,0.0215,655084,137,227540,-10000,3.8928,22,0.567,0.004
"Kyrgyzstan",32813,689,1277,28,20388,1185,11148,24,5024,196,267718,40990,"6,531,241","Asia","199","5,115","24",0.0389,6524195,0.0169,108345,34,191800,-4000,3,26,0.356,0.001
"Azerbaijan",30050,417,417,9,22684,602,6949,66,2962,41,667819,65824,"10,145,499","Asia","338","24,330","15",0.0139,10139177,0.0091,91459,123,82658,1200,2.0835,32,0.562,0.001
"Japan",29382,596,996,3,21762,195,6624,66,232,8,715283,5657,"126,447,444","Asia","4,304","126,955","177",0.0339,126476461,-0.003,-383840,347,364555,71560,1.3697,48,0.918,0.016
